,year,global_avg_temp,city_avg_temp,global_ma,city_ma
151,1947,8.8,25.72,8.743333333,25.35666667
152,1948,8.75,25.45,8.742222222,25.38
153,1949,8.59,25.6,8.723333333,25.43888889
154,1950,8.37,24.66,8.678888889,25.25666667
155,1951,8.63,25.58,8.667777778,25.27666667
156,1952,8.64,25.84,8.654444444,25.34222222
157,1953,8.87,26.14,8.656666667,25.47111111
158,1954,8.56,25.68,8.654444444,25.57111111
159,1955,8.63,25.15,8.648888889,25.53555556
160,1956,8.28,25.3,8.591111111,25.48888889
161,1957,8.73,24.91,8.588888889,25.42888889
162,1958,8.77,25.93,8.608888889,25.46555556
163,1959,8.73,25.56,8.648888889,25.56555556
164,1960,8.58,25.53,8.643333333,25.56
165,1961,8.8,24.8,8.661111111,25.44444444
166,1962,8.75,25.18,8.647777778,25.33777778
167,1963,8.86,25.46,8.681111111,25.31333333
168,1964,8.41,25.05,8.656666667,25.30222222
169,1965,8.53,25.26,8.684444444,25.29777778
170,1966,8.6,25.52,8.67,25.36555556
171,1967,8.7,24.98,8.662222222,25.26
172,1968,8.52,25.02,8.638888889,25.2
173,1969,8.6,25.8,8.641111111,25.23
174,1970,8.7,25.39,8.63,25.29555556
175,1971,8.6,24.81,8.613333333,25.25444444
176,1972,8.5,25.42,8.573333333,25.25
177,1973,8.95,25.56,8.633333333,25.30666667
178,1974,8.47,25.52,8.626666667,25.33555556
179,1975,8.74,25.02,8.642222222,25.28
180,1976,8.35,25.33,8.603333333,25.31888889
181,1977,8.85,25.41,8.64,25.36222222
182,1978,8.69,25.21,8.65,25.29666667
183,1979,8.73,25.81,8.653333333,25.34333333
184,1980,8.98,26.02,8.695555556,25.47777778
185,1981,9.17,25.79,8.77,25.51888889
186,1982,8.64,25.18,8.735555556,25.47666667
187,1983,9.03,24.75,8.797777778,25.39111111
188,1984,8.69,25.56,8.792222222,25.45111111
189,1985,8.66,25.86,8.826666667,25.51
190,1986,8.83,25.31,8.824444444,25.49888889
191,1987,8.99,26.54,8.857777778,25.64666667
192,1988,9.2,26.11,8.91,25.68
193,1989,8.92,25.43,8.903333333,25.61444444
194,1990,9.23,25.54,8.91,25.58666667
195,1991,9.18,25.74,8.97,25.64888889
196,1992,8.84,25.52,8.948888889,25.73444444
197,1993,8.87,25.92,8.968888889,25.77444444
198,1994,9.04,25.87,9.011111111,25.77555556
199,1995,9.35,25.92,9.068888889,25.84333333
200,1996,9.04,25.55,9.074444444,25.73333333
201,1997,9.2,24.71,9.074444444,25.57777778
202,1998,9.52,25.77,9.141111111,25.61555556
203,1999,9.29,26.36,9.147777778,25.70666667
204,2000,9.2,26.05,9.15,25.74111111
205,2001,9.41,25.86,9.213333333,25.77888889
206,2002,9.57,26.63,9.291111111,25.85777778
207,2003,9.53,25.72,9.345555556,25.84111111
208,2004,9.32,26.24,9.342222222,25.87666667
209,2005,9.7,25.72,9.415555556,25.89555556
210,2006,9.53,26.37,9.452222222,26.08
211,2007,9.73,26.15,9.475555556,26.12222222
212,2008,9.43,25.68,9.491111111,26.04666667
213,2009,9.51,26.55,9.525555556,26.10222222
214,2010,9.7,26.52,9.557777778,26.17555556
215,2011,9.52,25.63,9.552222222,26.06444444
216,2012,9.51,25.89,9.55,26.08333333
217,2013,9.61,26.71,9.582222222,26.13555556
